,ID,Income,Term,Balance,Debt,Score,Default
0,567,17626,10 Years,1381,293,228.0,False
1,523,18959,20 Years,883,1012,187.0,False
2,544,20560,10 Years,684,898,86.0,False
3,370,21894,10 Years,748,85,,False
4,756,24430,10 Years,1224,59,504.0,False
5,929,22995,20 Years,1678,1329,384.0,False
6,373,21124,10 Years,1135,115,560.0,False
7,818,24644,10 Years,1634,105,309.0,False
8,284,27138,20 Years,840,1877,251.0,False
9,621,24521,10 Years,1271,110,736.0,True
10,404,19166,10 Years,854,48,186.0,False
11,763,20838,10 Years,946,1259,136.0,False
12,327,18630,20 Years,1316,37,430.0,False
13,664,24182,10 Years,1160,882,247.0,False
14,590,17887,10 Years,901,1586,68.0,True
15,24,23596,10 Years,701,34,333.0,False
16,931,18223,10 Years,889,2162,40.0,True
17,400,18271,10 Years,991,979,197.0,True
18,905,17887,10 Years,1214,960,130.0,False
19,556,19330,10 Years,973,29,400.0,False
20,673,24185,10 Years,771,77,,False
21,537,20232,10 Years,996,804,296.0,False
22,616,22869,20 Years,1150,803,431.0,True
23,422,20543,10 Years,731,1054,89.0,False
24,73,16915,10 Years,925,1082,147.0,False
25,466,21437,10 Years,1298,51,451.0,False
26,363,17905,10 Years,928,13,168.0,False
27,291,22585,10 Years,1185,532,487.0,False
28,326,18015,10 Years,602,14,346.0,False
29,483,24055,10 Years,740,20,388.0,False
30,563,16876,20 Years,991,34,340.0,False
31,838,21984,10 Years,959,633,244.0,False
32,740,22259,20 Years,985,1906,152.0,True
33,216,16937,10 Years,587,1,259.0,False
34,302,21421,10 Years,1167,1347,198.0,False
35,236,18752,10 Years,1176,81,281.0,False
36,36,18247,10 Years,1162,431,,True
37,606,18656,10 Years,960,343,353.0,False
38,716,20384,10 Years,600,924,247.0,False
39,471,18174,10 Years,766,9,238.0,False
40,158,23782,10 Years,1027,727,321.0,True
41,986,19310,10 Years,929,65,378.0,False
42,841,21305,10 Years,1630,115,525.0,False
43,342,14999,20 Years,1278,53,297.0,False
44,210,25299,10 Years,1031,259,326.0,False
45,778,20175,10 Years,836,2012,65.0,True
46,441,20706,10 Years,833,532,346.0,False
47,782,18189,10 Years,497,462,210.0,False
48,424,17357,10 Years,1203,64,333.0,False
49,566,20986,10 Years,802,902,243.0,False
50,789,23557,20 Years,819,79,350.0,False
51,301,18162,10 Years,492,553,274.0,False
52,583,20899,10 Years,1336,2807,19.0,True
53,268,18290,10 Years,742,51,293.0,False
54,608,25267,10 Years,1308,2,470.0,False
55,407,20231,10 Years,919,544,256.0,False
56,67,20528,10 Years,1253,40,511.0,False
57,296,21354,10 Years,1032,989,254.0,False
58,669,28808,10 Years,1072,1034,513.0,False
59,316,16142,10 Years,1251,12,281.0,False
60,624,18046,10 Years,1098,651,218.0,False
61,643,20320,10 Years,643,461,,False
62,703,16440,10 Years,1206,546,246.0,False
63,653,16766,20 Years,846,538,227.0,False
64,864,21697,20 Years,639,331,370.0,False
65,163,20787,10 Years,716,338,313.0,False
66,472,19400,10 Years,1292,24,235.0,False
67,900,18015,10 Years,494,78,351.0,False
68,749,22313,10 Years,1103,67,219.0,False
69,155,21841,10 Years,1082,1023,267.0,True
70,355,18576,10 Years,890,59,307.0,False
71,767,20969,10 Years,802,769,265.0,False
72,805,25364,20 Years,363,31,344.0,False
73,493,15997,10 Years,1073,95,296.0,False
74,577,21863,20 Years,988,91,365.0,False
75,196,22991,10 Years,563,12,227.0,False
76,213,24590,10 Years,971,30,345.0,False
77,221,22055,10 Years,1759,77,589.0,False
78,456,20878,10 Years,1113,19,415.0,False
79,127,22551,10 Years,1021,433,359.0,False
80,330,23008,10 Years,807,92,354.0,False
81,546,17675,20 Years,925,904,114.0,False
82,446,19166,20 Years,1342,561,294.0,False
83,194,20934,10 Years,967,5,155.0,False
84,808,21005,10 Years,1561,1086,275.0,True
85,361,24504,10 Years,897,2665,76.0,True
86,83,19355,10 Years,473,42,,False
87,979,20385,10 Years,719,1173,216.0,False
88,41,23195,10 Years,1145,59,424.0,False
89,995,24411,10 Years,975,22,550.0,False
90,144,17625,20 Years,1125,638,351.0,False
91,820,19821,10 Years,1347,724,369.0,False
92,177,15413,10 Years,867,531,85.0,False
93,340,18465,10 Years,1189,710,162.0,False
94,709,26729,10 Years,1136,82,309.0,False
95,250,20195,10 Years,920,33,442.0,False
96,964,19845,10 Years,1577,375,229.0,False
97,515,23400,20 Years,1371,88,176.0,False
98,26,21102,10 Years,994,1,459.0,False
99,587,17401,10 Years,910,271,365.0,False
100,133,18929,10 Years,1021,49,242.0,False
101,103,20079,10 Years,649,446,284.0,False
102,478,19561,10 Years,919,311,232.0,False
103,835,20001,10 Years,1416,78,354.0,False
104,633,19081,10 Years,695,72,282.0,False
105,769,22095,10 Years,744,86,540.0,False
106,399,20969,10 Years,962,253,433.0,False
107,555,25186,10 Years,1039,8,260.0,False
108,580,21715,10 Years,871,98,432.0,False
109,137,22494,20 Years,1470,20,289.0,False
110,118,19855,20 Years,1285,1424,237.0,False
111,397,17785,10 Years,1186,27,324.0,False
112,332,23450,10 Years,1172,61,417.0,False
113,165,22875,20 Years,1279,109,440.0,False
114,741,20016,10 Years,801,1492,142.0,False
115,307,17625,10 Years,985,1176,119.0,False
116,380,20995,10 Years,1071,79,609.0,False
117,713,20948,10 Years,1280,15,313.0,False
118,978,24519,10 Years,924,96,562.0,False
119,944,23072,10 Years,504,1391,198.0,False
120,349,17837,10 Years,908,68,385.0,False
121,240,25078,10 Years,1388,906,591.0,False
122,287,19276,20 Years,1583,39,134.0,False
123,54,18191,10 Years,1074,16,411.0,False
124,711,25545,10 Years,1145,100,392.0,True
125,3,19716,10 Years,1233,1573,196.0,True
126,64,22663,20 Years,948,335,265.0,False
127,630,21687,10 Years,806,1119,149.0,False
128,926,22379,20 Years,1076,981,329.0,False
129,335,16392,10 Years,1450,197,171.0,False
130,889,15864,10 Years,1521,265,204.0,False
131,375,19480,10 Years,832,557,364.0,False
132,980,16914,10 Years,966,49,93.0,False
133,438,16736,10 Years,1151,62,345.0,False
134,297,16764,10 Years,2054,100,317.0,False
135,350,15980,20 Years,1422,115,221.0,False
136,597,21362,10 Years,1096,62,430.0,False
137,804,17420,10 Years,897,61,133.0,False
138,480,21967,20 Years,634,1217,191.0,False
139,170,21852,10 Years,898,276,333.0,False
140,800,18647,20 Years,324,1211,130.0,False
141,500,23595,10 Years,1310,91,337.0,False
142,91,23286,10 Years,1115,2088,266.0,True
143,550,19362,10 Years,636,335,139.0,False
144,707,20322,10 Years,1290,70,194.0,False
145,251,20292,10 Years,882,1189,318.0,False
146,419,20991,10 Years,927,415,299.0,False
147,600,20598,20 Years,798,4,411.0,False
148,162,19018,20 Years,1122,54,338.0,False
149,885,16788,10 Years,892,1696,98.0,True
150,61,17278,10 Years,1014,321,165.0,False
151,723,20996,10 Years,1211,408,324.0,False
152,299,22713,10 Years,1012,1010,146.0,False
153,843,17530,10 Years,1184,117,264.0,True
154,699,17617,10 Years,1144,2011,48.0,True
155,286,19640,10 Years,567,78,179.0,False
156,246,18551,10 Years,1195,20,306.0,False
157,917,23734,10 Years,820,9,552.0,False
158,427,20700,10 Years,440,1897,164.0,True
159,414,21563,10 Years,1042,2770,14.0,True
160,431,20179,20 Years,714,1141,249.0,False
161,484,21229,20 Years,919,1385,129.0,False
162,839,20756,10 Years,1148,4,,False
163,727,14671,10 Years,947,600,213.0,False
164,132,23302,10 Years,443,12,224.0,False
165,947,18706,20 Years,1207,309,318.0,False
166,936,15797,10 Years,914,89,289.0,False
167,256,19851,10 Years,1361,113,174.0,False
168,569,17304,10 Years,1008,1079,138.0,False
169,668,17698,10 Years,843,84,293.0,True
170,851,18483,20 Years,1069,52,434.0,False
171,229,22495,10 Years,741,1003,300.0,False
172,761,21425,10 Years,997,397,480.0,False
173,313,21370,10 Years,1368,44,389.0,False
174,650,23260,20 Years,1368,659,383.0,False
175,27,15862,10 Years,1085,35,282.0,False
176,374,16912,10 Years,607,2210,8.0,True
177,294,18866,10 Years,683,2370,6.0,True
178,65,25985,20 Years,725,486,423.0,False
179,996,19542,20 Years,1258,244,226.0,False
180,13,19792,20 Years,1501,570,143.0,False
181,45,16128,20 Years,990,62,361.0,False
182,691,24241,10 Years,1152,20,510.0,False
183,344,19802,10 Years,451,51,397.0,False
184,99,17966,10 Years,1424,54,391.0,False
185,822,15297,20 Years,1342,516,232.0,False
186,775,19970,20 Years,656,25,224.0,False
187,510,19294,10 Years,1468,67,459.0,False
188,765,18592,20 Years,620,33,306.0,False
189,888,19506,10 Years,1367,357,408.0,False
190,615,21438,10 Years,665,111,253.0,False
191,463,19781,10 Years,974,646,127.0,False
192,842,20977,10 Years,982,103,375.0,False
193,46,20791,10 Years,1201,1680,277.0,True
194,116,18984,10 Years,941,104,147.0,False
195,141,19714,10 Years,855,776,207.0,False
196,758,25798,10 Years,783,51,482.0,False
197,626,16163,10 Years,1195,28,328.0,False
198,369,19142,10 Years,687,859,197.0,False
199,172,21064,10 Years,1207,771,259.0,False
200,447,15763,10 Years,915,20,240.0,False
201,725,16920,10 Years,1164,1086,219.0,False
202,881,16295,10 Years,716,12,121.0,False
203,193,18923,10 Years,1007,247,261.0,False
204,681,17757,20 Years,1028,1010,117.0,False
205,455,19084,10 Years,1075,2471,53.0,True
206,998,24530,20 Years,874,645,297.0,False
207,672,20830,10 Years,1179,1541,203.0,False
208,679,19248,10 Years,1046,8,449.0,False
209,963,19978,20 Years,505,136,395.0,False
210,217,18194,10 Years,840,502,252.0,False
211,152,21540,10 Years,1310,1,306.0,False
212,766,22459,10 Years,822,1103,249.0,False
213,647,22124,10 Years,1114,47,500.0,False
214,801,15883,10 Years,1367,1375,92.0,True
215,356,23562,10 Years,777,480,293.0,False
216,11,18822,10 Years,603,1245,126.0,False
217,232,23066,20 Years,999,113,314.0,False
218,377,20409,20 Years,1162,758,325.0,False
219,15,21019,10 Years,789,1437,229.0,False
220,311,19777,10 Years,858,103,352.0,False
221,477,21181,10 Years,1133,1878,,True
222,661,17256,20 Years,991,947,148.0,False
223,937,20297,10 Years,932,95,449.0,False
224,865,22376,20 Years,664,834,33.0,False
225,933,18412,10 Years,1085,33,385.0,False
226,279,18645,10 Years,674,160,127.0,False
227,667,18895,10 Years,682,786,241.0,False
228,581,21151,10 Years,909,598,268.0,False
229,212,18543,10 Years,750,71,160.0,False
230,184,22079,20 Years,630,48,216.0,False
231,579,19263,10 Years,968,78,177.0,True
232,140,22721,10 Years,1000,1338,224.0,False
233,200,22581,10 Years,802,157,284.0,False
234,506,23354,10 Years,965,330,243.0,False
235,786,20563,20 Years,1454,87,279.0,True
236,175,21129,10 Years,1333,44,459.0,False
237,884,22171,10 Years,1209,82,537.0,False
238,315,21096,10 Years,737,68,490.0,True
239,489,20854,10 Years,1437,31,374.0,False
240,274,15189,10 Years,979,975,126.0,False
241,244,18148,10 Years,1377,267,388.0,False
242,444,21908,10 Years,793,1838,145.0,True
243,308,21800,20 Years,830,744,450.0,False
244,53,17606,10 Years,924,7,233.0,False
245,999,19581,10 Years,1391,584,273.0,False
246,823,16932,10 Years,944,437,283.0,False
247,514,18427,10 Years,654,120,297.0,False
248,259,17372,20 Years,732,86,306.0,False
249,830,17268,20 Years,569,793,193.0,False
250,443,15382,20 Years,870,1085,153.0,True
251,675,19882,10 Years,751,144,366.0,False
252,909,23509,20 Years,980,50,584.0,False
253,945,16779,10 Years,1166,1170,123.0,False
254,32,25134,10 Years,1274,98,302.0,False
255,153,22548,10 Years,971,23,540.0,False
256,797,17017,10 Years,1109,245,157.0,False
257,16,17900,10 Years,1216,4,149.0,False
258,832,22048,10 Years,931,19,442.0,False
259,848,23242,10 Years,855,20,439.0,False
260,809,20857,10 Years,270,103,155.0,False
261,957,17783,10 Years,952,839,235.0,False
262,329,21963,10 Years,1252,185,361.0,False
263,425,19698,10 Years,811,662,247.0,False
264,687,20450,10 Years,1275,1546,201.0,True
265,810,21097,10 Years,975,10,294.0,False
266,814,21495,20 Years,493,51,368.0,False
267,588,21431,10 Years,807,631,377.0,False
268,880,22495,10 Years,1187,82,401.0,False
269,613,20056,10 Years,1180,21,299.0,False
270,821,20015,10 Years,782,114,222.0,False
271,639,19636,10 Years,1281,27,349.0,False
272,519,18153,20 Years,1518,50,310.0,False
273,787,21220,20 Years,1286,1250,219.0,False
274,457,22341,20 Years,900,57,470.0,False
275,43,20063,20 Years,1313,4,259.0,False
276,243,20091,10 Years,1458,1258,223.0,False
277,693,25333,20 Years,1025,640,9.0,True
278,107,21430,10 Years,899,117,256.0,False
279,192,20409,20 Years,766,871,333.0,False
280,706,22110,10 Years,1228,116,336.0,False
281,920,19536,10 Years,617,63,313.0,False
282,197,18636,10 Years,990,9,322.0,False
283,833,20148,10 Years,1496,404,241.0,False
284,146,16951,20 Years,495,418,167.0,False
285,348,18804,10 Years,1081,254,188.0,False
286,389,20998,10 Years,686,1099,293.0,False
287,806,20112,10 Years,797,91,489.0,False
288,620,20001,10 Years,832,2128,135.0,True
289,528,24341,10 Years,994,94,286.0,False
290,752,19119,10 Years,1132,7,257.0,False
291,55,22789,20 Years,1059,103,466.0,False
292,367,21354,10 Years,1246,24,345.0,False
293,617,17759,10 Years,1072,831,232.0,False
294,940,19448,10 Years,936,1341,164.0,False
295,501,19384,10 Years,1125,78,312.0,False
296,721,23326,10 Years,823,888,227.0,False
297,751,21161,10 Years,1193,1427,88.0,False
298,989,18653,20 Years,867,48,254.0,False
299,656,18176,20 Years,1057,35,411.0,True
300,410,22107,10 Years,1135,67,382.0,False
301,927,19829,10 Years,1405,909,223.0,False
302,168,21095,10 Years,1164,104,288.0,False
303,48,25033,10 Years,1033,412,284.0,False
304,906,22739,10 Years,933,88,244.0,False
305,166,22346,10 Years,606,121,429.0,False
306,730,19435,10 Years,1161,677,270.0,False
307,74,21362,10 Years,830,839,267.0,False
308,303,20702,10 Years,1016,113,446.0,False
309,164,18507,10 Years,802,9,399.0,False
310,205,16222,20 Years,1150,487,233.0,False
311,258,15900,10 Years,567,35,281.0,False
312,593,19666,20 Years,1082,11,398.0,False
313,732,18393,20 Years,888,293,224.0,False
314,676,17579,10 Years,603,103,302.0,False
315,239,18460,10 Years,803,156,109.0,False
316,295,16483,10 Years,1156,117,319.0,False
317,347,20533,20 Years,1550,12,478.0,False
318,187,22497,20 Years,884,575,439.0,False
319,508,18181,10 Years,1491,31,320.0,False
320,62,23730,10 Years,768,94,475.0,False
321,649,23334,20 Years,1467,15,441.0,False
322,573,18651,10 Years,831,1551,86.0,True
323,858,15843,10 Years,448,31,204.0,False
324,420,22908,10 Years,862,1118,274.0,False
325,870,22724,10 Years,930,779,284.0,False
326,648,23247,10 Years,645,440,307.0,False
327,872,17286,20 Years,1225,602,234.0,False
328,625,19849,10 Years,1489,16,417.0,False
329,827,20063,10 Years,364,764,311.0,False
330,343,22572,10 Years,584,17,518.0,False
331,728,22894,10 Years,892,150,387.0,False
332,50,20259,10 Years,1241,804,217.0,False
333,434,22163,10 Years,1024,24,282.0,False
334,701,18554,10 Years,637,103,276.0,False
335,836,18055,10 Years,1363,473,195.0,False
336,819,20502,10 Years,866,234,444.0,False
337,225,17769,10 Years,822,425,326.0,False
338,539,22586,20 Years,1088,826,,False
339,934,17934,10 Years,1075,1564,56.0,True
340,754,22446,20 Years,1180,780,406.0,False
341,97,18171,20 Years,647,115,275.0,False
342,124,19563,10 Years,530,29,322.0,False
343,844,22334,10 Years,773,83,547.0,True
344,646,19043,20 Years,850,84,297.0,False
345,697,24188,10 Years,1183,699,374.0,False
346,265,21828,10 Years,918,31,335.0,False
347,394,22859,10 Years,1115,50,488.0,False
348,975,21863,10 Years,522,1105,283.0,True
349,604,16850,20 Years,761,1522,94.0,True
350,318,15637,10 Years,470,119,362.0,False
351,976,17671,20 Years,1015,20,208.0,False
352,110,23240,10 Years,1109,1758,171.0,False
353,726,21702,10 Years,1211,121,415.0,False
354,353,19876,10 Years,1319,31,301.0,False
355,918,18672,10 Years,785,919,188.0,False
356,384,19469,10 Years,1054,1182,134.0,False
357,714,19150,10 Years,1214,38,,False
358,757,16838,10 Years,1058,1028,81.0,False
359,651,21521,10 Years,1096,469,268.0,False
360,574,20034,10 Years,1608,104,423.0,False
361,364,20062,10 Years,979,161,,False
362,607,26087,10 Years,1136,17,236.0,False
363,576,20443,10 Years,537,20,443.0,False
364,331,23745,10 Years,769,12,459.0,False
365,982,16823,10 Years,661,20,202.0,False
366,877,20916,10 Years,853,7,341.0,False
367,993,17595,10 Years,909,1150,137.0,False
368,974,20480,20 Years,880,103,434.0,False
369,450,18401,10 Years,987,1202,107.0,False
370,60,19896,10 Years,1379,524,140.0,False
371,139,20427,10 Years,1254,1272,145.0,False
372,690,13553,10 Years,1141,194,69.0,False
373,33,17375,10 Years,970,281,424.0,False
374,189,22452,10 Years,826,1733,204.0,True
375,850,20860,10 Years,1266,85,378.0,False
376,644,20583,20 Years,1406,21,547.0,False
377,715,19314,10 Years,1302,792,249.0,False
378,540,19408,10 Years,840,1272,287.0,False
379,507,19756,10 Years,1129,21,202.0,False
380,368,17522,10 Years,1118,1048,176.0,False
381,674,18782,10 Years,905,28,220.0,False
382,663,19015,10 Years,1132,728,234.0,False
383,224,21007,10 Years,535,426,,False
384,811,19454,10 Years,1111,457,380.0,False
385,591,18703,10 Years,649,875,120.0,False
386,795,18251,10 Years,1164,84,170.0,False
387,69,13653,10 Years,1273,1423,102.0,True
388,429,17443,10 Years,1214,51,,False
389,824,22396,20 Years,833,26,186.0,False
390,992,18443,10 Years,557,467,311.0,True
391,119,21927,10 Years,1048,94,377.0,False
392,257,22386,10 Years,723,78,418.0,False
393,883,19548,20 Years,981,904,225.0,False
394,228,23391,10 Years,713,546,321.0,False
395,285,23243,10 Years,1774,2031,124.0,True
396,966,18345,20 Years,1192,43,297.0,False
397,660,19703,10 Years,741,76,347.0,False
398,860,24675,10 Years,875,1078,110.0,True
399,781,17453,10 Years,852,42,139.0,False
400,912,20650,20 Years,1259,36,281.0,True
401,437,20935,20 Years,942,654,355.0,False
402,724,23709,20 Years,1255,1667,229.0,False
403,406,25096,10 Years,1217,55,305.0,False
404,234,19898,10 Years,903,3,251.0,False
405,924,17952,10 Years,1004,62,247.0,False
406,109,22784,20 Years,1371,117,491.0,False
407,628,20413,10 Years,964,18,345.0,False
408,304,22519,10 Years,719,169,329.0,False
409,403,25577,20 Years,1022,992,338.0,False
410,190,17037,20 Years,1119,29,353.0,False
411,504,19829,10 Years,1326,570,268.0,False
412,476,22721,10 Years,1090,896,307.0,False
413,896,20886,10 Years,749,571,243.0,False
414,610,23643,10 Years,1351,24,488.0,False
415,202,20356,20 Years,1349,408,245.0,False
416,930,18404,10 Years,547,110,193.0,False
417,882,16360,10 Years,1252,7,278.0,False
418,747,20803,10 Years,1611,123,327.0,False
419,346,13600,10 Years,978,57,182.0,False
420,1,22297,10 Years,1435,15,451.0,False
421,764,17600,10 Years,852,71,198.0,False
422,612,24815,10 Years,1158,1570,202.0,False
423,376,22839,10 Years,750,107,478.0,False
424,894,21527,10 Years,719,4,389.0,True
425,105,20519,10 Years,617,2,299.0,False
426,645,19715,10 Years,1229,64,319.0,False
427,520,22358,10 Years,1000,56,510.0,False
428,956,16918,10 Years,1167,103,209.0,False
429,994,20700,20 Years,991,2254,92.0,True
430,261,23039,20 Years,1165,1550,251.0,False
